run_id,scenario,status,start_time,end_time,duration_seconds,requested_instances,deployment_id,recovery_id,healthy_count,unhealthy_count,notes
run20260411-194132-79,kill_and_recover_app3,failed,2026-04-11T19:41:32-04:00,2026-04-11T19:42:17-04:00,45,5,dep-20260411234132-db60977a,rec-20260411234215-f80a46b3,0,5,killed app3 and recovered
run20260411-194217-80,base_deploy_1,success,2026-04-11T19:42:17-04:00,2026-04-11T19:43:02-04:00,45,1,dep-20260411234217-2022b898,,0,1,base deployment to 1 instance
run20260411-194302-80,scale_up_5,success,2026-04-11T19:43:02-04:00,2026-04-11T19:43:45-04:00,43,5,dep-20260411234302-04c9157d,,0,5,scaled up to 5
run20260411-194345-80,scale_down_1,success,2026-04-11T19:43:45-04:00,2026-04-11T19:44:25-04:00,40,1,dep-20260411234345-1b9cbeb8,,0,1,scaled down to 1
run20260411-194425-80,kill_and_recover_app3,failed,2026-04-11T19:44:25-04:00,2026-04-11T19:45:11-04:00,46,5,dep-20260411234425-987c28b0,rec-20260411234509-787ed68f,0,5,killed app3 and recovered
run20260411-194511-81,base_deploy_1,success,2026-04-11T19:45:11-04:00,2026-04-11T19:45:55-04:00,44,1,dep-20260411234511-37f6bd53,,0,1,base deployment to 1 instance
run20260411-194555-81,scale_up_5,success,2026-04-11T19:45:55-04:00,2026-04-11T19:46:37-04:00,42,5,dep-20260411234555-1c54dd2e,,0,5,scaled up to 5
run20260411-194637-81,scale_down_1,success,2026-04-11T19:46:37-04:00,2026-04-11T19:47:19-04:00,42,1,dep-20260411234637-eae90466,,0,1,scaled down to 1
run20260411-194719-81,kill_and_recover_app3,failed,2026-04-11T19:47:19-04:00,2026-04-11T19:48:03-04:00,44,5,dep-20260411234719-514638e6,rec-20260411234801-c41525a2,0,5,killed app3 and recovered
run20260411-194803-82,base_deploy_1,success,2026-04-11T19:48:03-04:00,2026-04-11T19:48:48-04:00,45,1,dep-20260411234803-1bd19f4f,,0,1,base deployment to 1 instance
run20260411-194848-82,scale_up_5,success,2026-04-11T19:48:48-04:00,2026-04-11T19:49:30-04:00,42,5,dep-20260411234848-11831973,,0,5,scaled up to 5
run20260411-194930-82,scale_down_1,success,2026-04-11T19:49:30-04:00,2026-04-11T19:50:11-04:00,41,1,dep-20260411234930-d6f83d27,,0,1,scaled down to 1
run20260411-195011-82,kill_and_recover_app3,failed,2026-04-11T19:50:12-04:00,2026-04-11T19:50:56-04:00,44,5,dep-20260411235012-2ee6ce4d,rec-20260411235054-929611e6,0,5,killed app3 and recovered
run20260411-195056-83,base_deploy_1,success,2026-04-11T19:50:56-04:00,2026-04-11T19:51:41-04:00,45,1,dep-20260411235056-07b64624,,0,1,base deployment to 1 instance
run20260411-195141-83,scale_up_5,success,2026-04-11T19:51:41-04:00,2026-04-11T19:52:22-04:00,41,5,dep-20260411235141-3533cf16,,0,5,scaled up to 5
run20260411-195222-83,scale_down_1,success,2026-04-11T19:52:22-04:00,2026-04-11T19:53:06-04:00,44,1,dep-20260411235222-45efbcfe,,0,1,scaled down to 1
run20260411-195306-83,kill_and_recover_app3,failed,2026-04-11T19:53:07-04:00,2026-04-11T19:53:53-04:00,46,5,dep-20260411235307-486ab276,rec-20260411235351-bf5004f9,0,5,killed app3 and recovered
run20260411-195353-84,base_deploy_1,success,2026-04-11T19:53:53-04:00,2026-04-11T19:54:40-04:00,47,1,dep-20260411235353-ba04c82d,,0,1,base deployment to 1 instance
run20260411-195440-84,scale_up_5,success,2026-04-11T19:54:40-04:00,2026-04-11T19:55:21-04:00,41,5,dep-20260411235440-4bb3f358,,0,5,scaled up to 5
run20260411-195521-84,scale_down_1,success,2026-04-11T19:55:21-04:00,2026-04-11T19:56:01-04:00,40,1,dep-20260411235521-9999ee58,,0,1,scaled down to 1
run20260411-195601-84,kill_and_recover_app3,failed,2026-04-11T19:56:01-04:00,2026-04-11T19:56:47-04:00,46,5,dep-20260411235601-b39855b3,rec-20260411235645-6e7f429c,0,5,killed app3 and recovered
run20260411-195647-85,base_deploy_1,success,2026-04-11T19:56:47-04:00,2026-04-11T19:57:33-04:00,46,1,dep-20260411235647-2f462d42,,0,1,base deployment to 1 instance
run20260411-195733-85,scale_up_5,success,2026-04-11T19:57:33-04:00,2026-04-11T19:58:16-04:00,43,5,dep-20260411235733-090abff4,,0,5,scaled up to 5
run20260411-195816-85,scale_down_1,success,2026-04-11T19:58:16-04:00,2026-04-11T19:58:59-04:00,43,1,dep-20260411235816-e5c76137,,0,1,scaled down to 1
run20260411-195859-85,kill_and_recover_app3,failed,2026-04-11T19:58:59-04:00,2026-04-11T19:59:44-04:00,45,5,dep-20260411235859-f3d7d8f7,rec-20260411235943-3f9df62d,0,5,killed app3 and recovered
run20260411-195944-86,base_deploy_1,success,2026-04-11T19:59:44-04:00,2026-04-11T20:00:29-04:00,45,1,dep-20260411235944-997e9afe,,0,1,base deployment to 1 instance
run20260411-200029-86,scale_up_5,success,2026-04-11T20:00:29-04:00,2026-04-11T20:01:10-04:00,41,5,dep-20260412000029-2a1b9bc4,,0,5,scaled up to 5
run20260411-200110-86,scale_down_1,success,2026-04-11T20:01:10-04:00,2026-04-11T20:01:51-04:00,41,1,dep-20260412000110-42bd7803,,0,1,scaled down to 1
